water_period,year,start_month,Maxima,Minima,Media
R,2000,1,180970.06,152791.39,167251.6
HW,2000,4,227387.05666666667,213442.97,221137.76333333334
F,2000,7,210227.49333333332,187716.69666666666,199513.62
LW,2000,10,131677.15166666667,112206.03866666667,119414.21500000001
R,2001,1,180008.92333333334,151748.30166666667,165210.75666666668
HW,2001,4,225499.91666666666,217867.04,222300.54
F,2001,7,196338.92333333334,165046.18,181597.23666666666
LW,2001,10,112400.515,89882.90333333334,99907.03666666667
R,2002,1,172924.38,149273.3633333333,161885.28666666665
HW,2002,4,219020.74,208954.17,214025.82333333333
F,2002,7,206412.9833333333,181938.06333333332,195080.74666666667
LW,2002,10,127152.76733333334,96680.80866666666,111548.18833333334
R,2003,1,161252.1466666667,145532.665,153452.28666666665
HW,2003,4,212586.63,200656.53000000003,207488.31666666665
F,2003,7,198514.03333333333,175022.75333333333,187919.58666666667
LW,2003,10,119597.06,105142.232,110333.3
R,2004,1,166532.85,140032.08666666667,152892.84666666668
HW,2004,4,207860.92,197665.97333333336,204072.7333333333
F,2004,7,180898.53333333333,158592.69999999998,170339.84
LW,2004,10,121083.40833333333,106903.96466666665,112652.45333333332
R,2005,1,170517.97,143577.55666666667,156845.58666666667
HW,2005,4,223222.12333333332,212010.43333333335,218473.13666666663
F,2005,7,172645.10833333334,132171.28166666668,153583.09833333333
LW,2005,10,101696.19466666668,79301.90000000001,90882.42166666668
R,2006,1,192373.57666666666,162708.99666666667,178373.14666666664
HW,2006,4,241208.07333333333,228585.11666666667,234975.21333333335
F,2006,7,198305.97999999998,159165.60133333332,179350.76
LW,2006,10,114022.39866666666,91841.81333333334,102279.993
R,2007,1,174041.59,155776.61333333334,165442.08666666667
HW,2007,4,221314.50666666668,207247.00333333333,214941.80666666667
F,2007,7,197902.22999999998,164763.87,181908.68666666668
LW,2007,10,118479.09333333334,97167.71866666667,106080.625
R,2008,1,195504.17,166841.32333333333,180667.37333333332
HW,2008,4,236698.8866666667,228918.78666666665,233604.46666666667
F,2008,7,204120.36666666667,167134.51833333334,186126.87
LW,2008,10,124686.03333333333,105935.96333333333,113707.08166666667
R,2009,1,205708.40666666665,175720.70333333334,191132.65
HW,2009,4,255990.05999999997,247237.97666666665,251405.03
F,2009,7,229574.33333333334,195799.25333333333,214018.62
LW,2009,10,120186.06,87213.59066666667,101393.62533333333
R,2010,1,167255.6133333333,146566.57666666666,157531.69999999998
HW,2010,4,222133.63333333333,204984.5,214407.53333333333
F,2010,7,184469.85333333336,144748.22,164871.45333333334
LW,2010,10,92217.23999999999,76818.76,84978.94666666667
R,2011,1,169889.60666666666,138248.1133333333,153466.63
HW,2011,4,234810.78000000003,220627.72999999998,228615.13
F,2011,7,202735.58333333334,161879.392,183460.73666666666
LW,2011,10,106654.80699999999,92178.28666666667,98003.152
R,2012,1,203433.67,167042.73333333334,185183.96666666665
HW,2012,4,250435.71999999997,239306.59333333335,245843.20333333334
F,2012,7,209583.80000000002,170917.05000000002,190844.35333333336
LW,2012,10,103124.01666666666,83965.365,91553.15333333332
R,2013,1,184821.72666666668,147766.11000000002,166062.60466666668
HW,2013,4,244073.84333333335,231235.13,238406.25666666668
F,2013,7,211749.64,184544.54333333333,198920.31999999998
LW,2013,10,138642.28333333333,114714.95833333333,126441.51000000001
R,2014,1,194957.28666666665,168442.14333333334,182454.99
HW,2014,4,250965.43333333335,240451.69666666666,246520.22999999998
F,2014,7,227168.93333333335,199453.5,214420.46666666667
LW,2014,10,137114.54666666666,115172.23666666668,125398.89866666666
R,2015,1,185357.47666666668,159381.27666666667,171978.60333333333
HW,2015,4,242776.08,230778.38999999998,238132.84333333335
F,2015,7,225095.1,198714.64666666664,213218.13999999998
LW,2015,10,113283.41666666667,84013.26333333332,96568.20166666666
R,2016,1,135467.21333333335,110420.01666666666,122385.31800000001
HW,2016,4,195952.33666666667,184159.76,191511.08333333334
F,2016,7,180739.09,153865.68666666668,168726.96333333335
LW,2016,10,107452.83333333333,93308.11666666665,97350.29
R,2017,1,193133.41666666666,157537.38666666666,176281.79666666666
HW,2017,4,238938.84666666668,228577.71666666667,234113.66666666666
F,2017,7,196530.41666666666,155997.01666666666,176999.91666666666
LW,2017,10,107802.65333333332,94915.67333333334,101308.84000000001
R,2018,1,175566.32666666666,152921.78333333333,165068.40666666668
HW,2018,4,221297.20333333334,209619.14333333334,216048.55666666664
F,2018,7,203083.08333333334,178241.08333333334,191526.42333333334
LW,2018,10,130955.13333333335,94245.91666666667,111457.95666666667
R,2019,1,198040.41333333333,175564.02000000002,186569.32666666666
HW,2019,4,240509.15666666665,229641.81333333332,235646.69666666666
F,2019,7,215776.0166666667,184899.43000000002,202569.7233333333
LW,2019,10,135588.47333333333,107729.31333333334,117908.505
R,2020,1,186606.37333333332,168109.31333333332,177699.61000000002
HW,2020,4,228753.25666666668,216982.49,223581.94000000003
F,2020,7,202471.30000000002,164457.67,185047.3866666667
LW,2020,10,108417.21,88246.90000000001,95906.76666666666
R,2021,1,200623.56666666665,167182.44666666668,184382.64666666664
HW,2021,4,252377.36666666667,242791.04,247663.29
F,2021,7,226970.19000000003,196080.69333333333,212379.57333333333
R,2022,1,211572.38,185956.97999999998,198530.18333333335
HW,2022,4,271516.5266666667,258666.73666666666,266835.8433333333
F,2022,7,231573.24666666667,192735.21999999997,214150.52666666664
LW,2022,10,117755.37333333334,91395.18666666666,102406.548
R,2023,1,182737.57666666666,147524.15,164682.75999999998
HW,2023,4,230351.56333333332,220546.96666666667,226643.21666666667
F,2023,7,193004.14666666664,150315.09666666665,174020.01866666667
LW,2023,10,86783.28,63105.94966666666,71733.41133333334
R,2024,1,150532.34333333332,127500.92666666668,140132.01666666666
HW,2024,4,199498.36,171633.06,185468.0
LW,2024,10,61237.44,50618.246,54955.098
