mean_u__wind,mean_v__wind,month,timestamp,year
-0.9339752954651326,-0.4114312876027556,1,2000-01-01,2000
-1.4154347951893966,-0.15625962114113623,4,2000-04-01,2000
-1.6453487939547082,0.05566016494350145,7,2000-07-01,2000
-1.3442410188347624,0.1584949799731814,10,2000-10-01,2000
-1.4008583717112626,-0.4240530059403983,1,2001-01-01,2001
-1.3219595426501283,-0.09327908731431363,4,2001-04-01,2001
-1.618516165353704,-0.2049660414178483,7,2001-07-01,2001
-1.8165920023342976,0.163258578711502,10,2001-10-01,2001
-1.3808597876807434,-0.444644181409541,1,2002-01-01,2002
-1.5430112838835752,-0.15999582136449944,4,2002-04-01,2002
-2.1534397834978614,-0.12612003976245278,7,2002-07-01,2002
-1.641473453796486,0.03386644312615122,10,2002-10-01,2002
-1.91577105240948,-0.374960264871986,1,2003-01-01,2003
-1.5214147276635233,-0.09375007185518465,4,2003-04-01,2003
-1.3160754861087212,-0.20290090582028902,7,2003-07-01,2003
-1.3188409283421263,0.2686567408990193,10,2003-10-01,2003
-1.187024019658984,-0.26307637616352786,1,2004-01-01,2004
-1.4407022869311898,-0.08153931926864524,4,2004-04-01,2004
-1.5602968185914858,-0.16863964072364956,7,2004-07-01,2004
-1.288895932570146,0.3347664673951109,10,2004-10-01,2004
-1.0586014096126326,-0.19191781215416717,1,2005-01-01,2005
-1.7314427828165044,-0.1865566296430146,4,2005-04-01,2005
-1.376271425655947,-0.38041673345017113,7,2005-07-01,2005
-1.1890427443266791,0.10903482630257685,10,2005-10-01,2005
-1.330115527704735,-0.2835305082950681,1,2006-01-01,2006
-1.2596308545876953,-0.09911168407296264,4,2006-04-01,2006
-1.5023813438596054,-0.3066388128325372,7,2006-07-01,2006
-1.5608812326141897,-0.005555336186713044,10,2006-10-01,2006
-1.4335740424339427,-0.22786484693567846,1,2007-01-01,2007
-1.350315863550783,-0.19138397608763844,4,2007-04-01,2007
-1.3675172346761282,-0.37565363408777513,7,2007-07-01,2007
-1.2936201011308301,-0.17782478107470356,10,2007-10-01,2007
-1.123068055083109,-0.45354963205379184,1,2008-01-01,2008
-1.0658561404382956,-0.22908360487599172,4,2008-04-01,2008
-1.4277537647006724,-0.32465825369549356,7,2008-07-01,2008
-0.6897530315815686,0.09130664579152384,10,2008-10-01,2008
-1.2190842892330258,-0.40403463470865353,1,2009-01-01,2009
-1.4770111340390977,-0.058175213183163134,4,2009-04-01,2009
-2.326608092554154,-0.18627881350166794,7,2009-07-01,2009
-2.102162418423521,-0.17555959794990736,10,2009-10-01,2009
-1.7180567609921849,-0.4097472629301314,1,2010-01-01,2010
-1.1191106704047573,-0.08908118308677165,4,2010-04-01,2010
-1.202828480527074,-0.5924124443976251,7,2010-07-01,2010
-1.050013300232355,-0.1986333852757675,10,2010-10-01,2010
-1.1445730324435779,-0.4928625366551365,1,2011-01-01,2011
-1.3559332809234936,-0.1323680480469222,4,2011-04-01,2011
-1.8340861972017313,-0.40167848229691266,7,2011-07-01,2011
-1.0764359080644794,0.16180956688461282,10,2011-10-01,2011
-1.2418675732712452,-0.25197892800912824,1,2012-01-01,2012
-1.6098435941435232,0.03466270377995568,4,2012-04-01,2012
-1.7992322617463954,-0.14022268345639766,7,2012-07-01,2012
-1.5858005139383402,0.24530215360307822,10,2012-10-01,2012
-1.408720171373446,-0.336052984364694,1,2013-01-01,2013
-1.593615671095814,-0.12963533520681897,4,2013-04-01,2013
-1.2938876354334976,-0.3011260164344662,7,2013-07-01,2013
-1.1766086337962167,-0.07502585151541082,10,2013-10-01,2013
-1.6069019498150774,-0.38828405844992514,1,2014-01-01,2014
-1.7024898698412088,-0.2509918453351238,4,2014-04-01,2014
-2.228321744751273,-0.35327301317545773,7,2014-07-01,2014
-1.7814510039686577,0.18723955643193865,10,2014-10-01,2014
-1.5364336093371045,-0.39073419941100995,1,2015-01-01,2015
-1.8811138694043186,-0.2376129445507094,4,2015-04-01,2015
-2.2934617546367173,-0.407629471820206,7,2015-07-01,2015
-2.5727307474933734,-0.23142908472025558,10,2015-10-01,2015
-1.854137328343143,-0.6542732297347513,1,2016-01-01,2016
-1.5998065779809503,-0.08128258712142007,4,2016-04-01,2016
-1.2690774158579945,-0.2755683207958042,7,2016-07-01,2016
-1.3402386063203129,0.1061630588739116,10,2016-10-01,2016
-1.2816420615927488,-0.4908541197431756,1,2017-01-01,2017
-1.4947511720193822,-0.28974263972201303,4,2017-04-01,2017
-1.7377979830407524,-0.4633738757420937,7,2017-07-01,2017
-1.5747961730978783,-0.008309632721294095,10,2017-10-01,2017
-1.3331859540511977,-0.5629946208308709,1,2018-01-01,2018
-1.3534016582392043,-0.31482583390382557,4,2018-04-01,2018
-1.5353662631693288,-0.45622814163898806,7,2018-07-01,2018
-1.752077150123998,-0.26681375481325514,10,2018-10-01,2018
-1.6565291938446514,-0.5136690938163431,1,2019-01-01,2019
-1.7553741070881614,-0.31770492328824534,4,2019-04-01,2019
-1.7036009623474653,-0.38415210214763074,7,2019-07-01,2019
-1.2090911217687608,0.04305190104606177,10,2019-10-01,2019
-1.4655580234000776,-0.5494189830992925,1,2020-01-01,2020
-1.121451345960205,-0.20297193145246623,4,2020-04-01,2020
-1.6973595421509087,-0.3340392152631134,7,2020-07-01,2020
-1.4543881826396023,-0.2305426667671758,10,2020-10-01,2020
-1.2105754936955306,-0.4571621476915835,1,2021-01-01,2021
-1.212713221588705,-0.2414808282136499,4,2021-04-01,2021
-1.1902361555087206,-0.3870496856823917,7,2021-07-01,2021
-1.0571420194068764,-0.18286567930920053,10,2021-10-01,2021
-1.1239651890197335,-0.47369835321404025,1,2022-01-01,2022
-1.1691870385658014,-0.21866740686428937,4,2022-04-01,2022
-1.7728174984604006,-0.5046574590677774,7,2022-07-01,2022
-1.1249333395314485,-0.23479417953227222,10,2022-10-01,2022
-1.2982759169807179,-0.45845801406716324,1,2023-01-01,2023
-1.4868986565646238,-0.18068288563239265,4,2023-04-01,2023
-2.135299824394284,-0.31945978633911576,7,2023-07-01,2023
-2.1519920959200975,-0.08156164541823674,10,2023-10-01,2023
-1.7830484328519787,-0.28189040719317127,1,2024-01-01,2024
-1.5096895376793134,-0.3537608636911036,4,2024-04-01,2024
-2.080815995346964,-0.464605125333971,7,2024-07-01,2024
-1.7583239866216036,-0.09436522190279584,10,2024-10-01,2024
